Varebetegnelse,KJ pr.,Protein,Fedt,Kulhydrat,Tilsat sukker,Kostfibre,Alkohol,Vand,Kcal pr.,
"Broccoli, kogt",148,"2,4","0,4","7,2",,"3,3",0,"89,3",35,
"Broccoli, rå",187,"5,3","0,6","6,1",0,"3,2",0,"87,8",45,
"Brombær, dybfrost, usukrede",278,"1,2","0,4","15,7",0,"2,7",0,"82,2",66,
"Brombær, rå",175,"1,4",1,9,0,"4,3",0,"88,2",42,
"Brosme, rå",334,19,"0,3",0,0,0,0,"79,4",80,
"Brune bønner, tørrede",1313,"18,9",2,"63,4",0,"17,8",0,"12,3",314,
"Brune linser, tørrede, rå",1422,"25,1",2,"60,1",,"11,2",0,"10,2",340,
"Brøndkarse, rå",61,"1,7","0,2","2,1",0,"1,2",0,"94,1",15,
Buddingpulver,1478,"0,3",0,"87,5",0,"1,6",0,"12,1",353,
"Bulgur (hvedekerner, knækkede, parboiled), rå",1503,"10,8","2,3","76,7",0,"7,7",0,"9,1",359,
"Byggryn, rå",1467,"9,2","2,4","76,9",0,"9,5",0,10,351,
Bygmel,1423,"9,2",3,72,0,"7,6",0,14,340,
"Bækforel, filet, røget",884,"29,6","10,3",0,0,0,0,"54,6",211,
"Bækforel, rå",448,"20,5","2,7",0,0,0,0,"77,6",107,
"Bønnespirer, adzuki, rå",568,10,1,24,0,"5,2",0,"64,2",136,
"Bønnespirer, mung, rå",142,3,"0,2","5,9",0,"1,8",0,"90,4",34,
"Bønnespirer, soja, konserves",72,"1,6","0,2","3,8",0,3,0,"95,4",17,
"Bønnespirer, soja, rå",240,"6,2","1,4","5,3",0,"0,8",0,"86,3",57,
"Bønnespirer, uspec., rå",135,3,"0,3","4,9",0,"1,2",0,90,32,
"Cacao, instant, med mælk, pulver",1558,"16,2","3,4","71,8","70,3","7,1",0,"3,6",372,
"Cacao, instant, uden mælk, pulver",1663,"5,3","3,8","87,4","70,3","5,9",0,"1,3",397,
"Cacao, pulver",1686,"22,5","21,9","41,7",0,24,0,"5,1",403,
Cacaomælk,295,"3,7","1,8",10,"4,5","0,5",0,"83,8",71,
Cacaomælk (UHT),293,"3,6","1,7","10,2","5,1","0,5",0,"83,8",70,
Cacaoskummetmælk,252,"3,6","0,5","10,4","4,8","0,5",0,"84,9",60,
Cacaoskummetmælk (UHT),252,"3,6","0,5","10,4","4,8","0,5",0,"84,8",60,
Cacaosmør,3700,0,100,0,0,0,0,0,884,
"Camembert, 30+",835,25,11,"0,2",0,0,0,"60,7",200,
"Camembert, 45+",1196,"21,4","22,4","0,2",0,0,0,"52,7",286,
"Camembert, 50+",1304,"19,5","26,2","0,2",0,0,0,"50,5",312,
"Cantaloupe (melon), rå",152,"0,8","0,2","8,2",0,"0,9",0,"90,2",36,
"Carambol, bilimbing, stjernefrugt, rå",117,1,"0,3","6,7",0,"2,8",0,"91,4",28,
"Cashewnød, olieristet",2533,"16,8","47,8","29,9",0,"3,3",0,"3,5",605,
"Cashewnød, tørristet",2506,"15,3","46,4","32,7",0,3,0,"1,7",599,
"Cayote, Kayote, rå",78,"0,8","0,1","4,5",0,"1,7",0,"94,2",19,
"Champignon, konserves",92,"2,5","0,5","3,1",0,"2,4",0,"92,7",22,
"Champignon, rå",103,"2,9","0,3","3,4",0,"1,7",0,"92,7",25,
"Cheddar, 50+",1687,"26,2","33,1",1,0,0,0,"36,7",403,
"Cherimoya, chirimoya, rå",331,"1,7","0,6","17,7",0,"2,3",0,"79,4",79,
"Chesire, 50+",1579,24,"31,2",1,0,0,0,"40,9",377,
"Chokolade, fyldt",1945,9,"19,3","63,9",54,"0,9",0,"6,8",465,
"Citron, rå",132,"0,5","1,1","5,5",0,"1,2",0,"92,6",32,
"Citronsaft, friskpresset",153,"0,4",0,"8,6",0,0,0,"90,7",37,
"Citronskal, rå",213,"1,5","0,3",16,0,"10,6",0,"81,6",51,
Cognac,945,0,0,1,0,0,32,68,226,
"Cornflakes, frosted",1607,"5,6","0,9",88,30,"1,9",0,"3,6",384,
"Cornflakes, uspec.",1559,"7,3","1,3","83,2",5,"3,1",0,5,373,
Creme fraiche 18 %,797,"2,8","18,6","3,6",0,0,0,"74,4",190,
Creme fraiche 38 %,1502,"2,1","38,4","2,7",0,0,0,"56,3",359,
Creme Fraiche 9%,454,"3,4",9,"3,7",0,0,0,83,109,
Croissant,1726,"7,9","23,1","44,7",,"2,5",0,"22,8",413,
"Cultura, syrnet sødmælk",269,"3,5","3,6","4,5",0,0,0,"87,6",64,
"Daddel, tørret",1377,2,"0,5","81,3",0,"6,4",0,"14,6",329,
